Date,Site,Site_Number,Pair,Quadrat,Depth_min,Depth_max,Slope_angle,Latitude,Longitude,Elevation,Time_24hr,Treatment,Macrophyte,Length,Width,Height,Volume,Weight,Alive,pH,O2_percent,O2_mg_l,Temp,Conductivity,NH4_Water,NH4_Sediment
21.03.19,Keeleys_Landing,1,1A,1,1.2,1.2,0,-37.94492545,175.5807288,61.64990234,10:15:47,None,None,61,40,14,34160,18.7,Alive,8.2,103.9,9.2,21,157.5,,
21.03.19,Keeleys_Landing,1,1A,1,1.2,1.2,0,-37.94492545,175.5807288,61.64990234,10:15:47,None,None,71,42.5,19.5,58841,34,Alive,8.2,103.9,9.2,21,157.5,,
21.03.19,Keeleys_Landing,1,1A,1,1.2,1.2,0,-37.94492545,175.5807288,61.64990234,10:15:47,None,None,68,44.5,20,60520,33.7,Alive,8.2,103.9,9.2,21,157.5,,
21.03.19,Keeleys_Landing,1,1A,1,1.2,1.2,0,-37.94492545,175.5807288,61.64990234,10:15:47,None,None,68.5,40,22.5,61650,38.7,Alive,8.2,103.9,9.2,21,157.5,,
21.03.19,Keeleys_Landing,1,1A,1,1.2,1.2,0,-37.94492545,175.5807288,61.64990234,10:15:47,None,None,65.5,42,24.5,67400,32.7,Alive,8.2,103.9,9.2,21,157.5,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,53,34,14.5,26129,14,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,57.5,35,16,32200,16.9,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,61.5,40,17.5,43050,26.7,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,62.5,42,17.5,45938,25.5,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,64,40,18,46080,28,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,64,39,18.5,46176,31.1,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,63,41,18,46494,26.4,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,69,40,19,52440,,Dead,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,64,41,20,52480,36,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,67,40,20,53600,34.8,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,66,44,20,58080,34,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,67,41,21.5,59061,34.3,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,70.5,42,21,62181,42.3,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,69,42.5,21.5,63049,38.6,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,69,44,22,66792,42.8,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,73.5,44,21,67914,40.8,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,74,47,22.5,78255,49,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,77,44,24,81312,52.6,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1A,2,1.2,1.2,0,-37.94492612,175.5807094,60.20788574,10:31:01,Macrophyte,Hornwort,77,50,21.5,82775,50.2,Alive,,,,,,,
21.03.19,Keeleys_Landing,1,1B,3,1.2,1.2,0,-37.9448174,175.5806602,61.89013672,10:46:47,None,None,64.5,41,20.5,54212,31.9,Alive,8.2,102.3,9.17,20.7,157.4,,
21.03.19,Keeleys_Landing,1,1B,3,1.2,1.2,0,-37.9448174,175.5806602,61.89013672,10:46:47,None,None,70.5,38,22,58938,36.3,Alive,8.2,102.3,9.17,20.7,157.4,,
21.03.19,Keeleys_Landing,1,1B,3,1.2,1.2,0,-37.9448174,175.5806602,61.89013672,10:46:47,None,None,76,41,22,68552,45.8,Alive,8.2,102.3,9.17,20.7,157.4,,
21.03.19,Keeleys_Landing,1,1B,3,1.2,1.2,0,-37.9448174,175.5806602,61.89013672,10:46:47,None,None,75.5,49,23.5,86938,50.6,Alive,8.2,102.3,9.17,20.7,157.4,,
21.03.19,Keeleys_Landing,1,1B,3,1.2,1.2,0,-37.9448174,175.5806602,61.89013672,10:46:47,None,None,75.5,52.5,22.5,89184,48.9,Alive,8.2,102.3,9.17,20.7,157.4,,
21.03.19,Keeleys_Landing,1,1B,4,1.2,1.2,0,-37.9448972,175.5806389,64.77404785,11:01:46,Macrophyte,Hornwort,55,35,14,26950,14,Alive,8.3,105,8.92,20.9,157.2,6.3,0.8
21.03.19,Keeleys_Landing,1,1B,4,1.2,1.2,0,-37.9448972,175.5806389,64.77404785,11:01:46,Macrophyte,Hornwort,53,34,16,28832,17.6,Alive,8.3,105,8.92,20.9,157.2,6.3,0.8
21.03.19,Keeleys_Landing,1,1B,4,1.2,1.2,0,-37.9448972,175.5806389,64.77404785,11:01:46,Macrophyte,Hornwort,58,38,19,41876,21.2,Alive,8.3,105,8.92,20.9,157.2,6.3,0.8
21.03.19,Keeleys_Landing,1,1B,4,1.2,1.2,0,-37.9448972,175.5806389,64.77404785,11:01:46,Macrophyte,Hornwort,64,38,18,43776,26.3,Alive,8.3,105,8.92,20.9,157.2,6.3,0.8
21.03.19,Keeleys_Landing,1,1B,4,1.2,1.2,0,-37.9448972,175.5806389,64.77404785,11:01:46,Macrophyte,Hornwort,65,40,17,44200,28.6,Alive,8.3,105,8.92,20.9,157.2,6.3,0.8
21.03.19,Keeleys_Landing,1,1B,4,1.2,1.2,0,-37.9448972,175.5806389,64.77404785,11:01:46,Macrophyte,Hornwort,65.5,39,17.5,44704,29.1,Alive,8.3,105,8.92,20.9,157.2,6.3,0.8
21.03.19,Keeleys_Landing,1,1B,4,1.2,1.2,0,-37.9448972,175.5806389,64.77404785,11:01:46,Macrophyte,Hornwort,60.5,40,19.5,47190,,Dead,8.3,105,8.92,20.9,157.2,6.3,0.8
21.03.19,Keeleys_Landing,1,1B,4,1.2,1.2,0,-37.9448972,175.5806389,64.77404785,11:01:46,Macrophyte,Hornwort,64,37,20,47360,25.7,Alive,8.3,105,8.92,20.9,157.2,6.3,0.8
